Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Kaisa,13,8,95%,6,7,46%,4.3,5.5,29:57,10.2,658,458,2.6,366,89
 Sejuani,7,13,91%,2,5,29%,2.5,4.2,33:35,5.6,275,319,4.5,-232,-2
 Tristana,9,11,91%,5,4,56%,4.0,5.3,29:57,9.8,618,469,6.9,320,262
 Poppy,0,19,86%,,,,,3.9,,,,,,,
 Xayah,12,7,86%,8,4,67%,4.9,6.4,31:35,9.5,620,466,-3.7,-395,-77
 Rell,11,8,86%,5,6,45%,3.7,8.1,29:05,1.9,140,255,-0.8,49,-29
 Jax,8,10,82%,4,4,50%,2.4,2.9,32:35,8.2,498,390,2.1,369,309
 Renekton,10,8,82%,6,4,60%,3.2,3.9,29:03,9.1,447,419,9.5,429,92
 Azir,7,11,82%,2,5,29%,2.0,4.7,30:46,9.2,625,409,-0.3,-13,143
 Rakan,8,10,82%,4,4,50%,4.7,8.4,31:02,1.2,147,244,1.5,-144,-16
 Maokai,13,4,77%,9,4,69%,4.0,5.5,28:37,5.3,361,333,-0.8,-30,-121
 Alistar,7,9,73%,5,2,71%,4.3,8.1,30:36,1.0,130,250,-0.3,-90,167
 Vi,5,11,73%,2,3,40%,2.7,3.4,31:49,6.3,280,350,2.6,383,76
 LeBlanc,1,14,68%,0,1,0%,0.5,3.5,30:37,8.9,615,362,13,709,669
 Jayce,9,5,64%,7,2,78%,4.5,4.4,29:01,9.4,589,440,4.8,0,-145
 Nautilus,7,7,64%,3,4,43%,1.7,8.1,29:43,1.2,132,230,1,-51,-87
 Aatrox,8,5,59%,3,5,38%,1.9,4.6,29:21,8.0,549,379,-10.6,-697,-375
 Neeko,2,11,59%,2,0,100%,4.4,4.6,31:40,7.8,529,404,13,-298,2
 Zeri,9,4,59%,3,6,33%,2.7,7.3,30:24,10.2,604,447,1.2,188,11
 KSante,10,3,59%,3,7,30%,2.4,1.7,30:47,8.2,359,357,-9.2,-389,-309
 Annie,6,3,41%,2,4,33%,3.2,5.3,31:05,7.5,500,365,-11.7,-623,-497
 Ahri,6,2,36%,4,2,67%,7.0,9.5,33:09,8.4,641,420,2.6,761,232
 Viego,6,2,36%,3,3,50%,3.7,8.5,29:22,6.1,364,370,-1.8,-23,-76
