CHAMPION,BAN %,TOTAL,BLUE,RED,P1 TOTAL,P1 BLUE,P1 RED,P2 TOTAL,P2 BLUE,P2 RED
 Tristana,64.3,18,7,11,17,6,11,1,1,0
 Alistar,57.1,16,9,7,10,6,4,6,3,3
 Poppy,50,14,13,1,13,12,1,1,1,0
 Aatrox,46.4,13,8,5,7,5,2,6,3,3
 Jax,46.4,13,4,9,6,2,4,7,2,5
 Nautilus,46.4,13,6,7,8,4,4,5,2,3
 Maokai,42.9,12,7,5,11,6,5,1,1,0
 Sejuani,42.9,12,6,6,12,6,6,0,0,0
 Kaisa,42.9,12,2,10,8,1,7,4,1,3
 Rell,42.9,12,9,3,8,5,3,4,4,0
 Xayah,39.3,11,4,7,8,3,5,3,1,2
 LeBlanc,35.7,10,4,6,10,4,6,0,0,0
 Vi,35.7,10,5,5,7,4,3,3,1,2
 Rakan,35.7,10,5,5,2,0,2,8,5,3
 Zeri,35.7,10,4,6,5,3,2,5,1,4
 Nocturne,32.1,9,6,3,8,6,2,1,0,1
 Neeko,32.1,9,1,8,8,1,7,1,0,1
 Renekton,25,7,3,4,5,2,3,2,1,1
 Lulu,21.4,6,4,2,1,1,0,5,3,2
 Azir,21.4,6,3,3,5,3,2,1,0,1
 Rumble,17.9,5,1,4,1,0,1,4,1,3
 Taliyah,14.3,4,2,2,0,0,0,4,2,2
 Ahri,10.7,3,3,0,0,0,0,3,3,0
 Blitzcrank,10.7,3,2,1,1,1,0,2,1,1
 Draven,10.7,3,3,0,0,0,0,3,3,0
 Sivir,10.7,3,2,1,0,0,0,3,2,1
 Xerath,10.7,3,1,2,0,0,0,3,1,2
 Braum,10.7,3,3,0,0,0,0,3,3,0
 Viego,10.7,3,2,1,1,1,0,2,1,1
 KSante,10.7,3,1,2,0,0,0,3,1,2
 Annie,7.1,2,0,2,1,0,1,1,0,1
 Gragas,7.1,2,1,1,1,0,1,1,1,0
 Jayce,7.1,2,1,1,2,1,1,0,0,0
 Leona,7.1,2,1,1,0,0,0,2,1,1
 Lucian,7.1,2,1,1,1,1,0,1,0,1
 Gnar,7.1,2,1,1,0,0,0,2,1,1
 Yone,7.1,2,0,2,0,0,0,2,0,2
 Nilah,7.1,2,2,0,0,0,0,2,2,0
 Amumu,3.6,1,1,0,0,0,0,1,1,0
 Corki,3.6,1,0,1,1,0,1,0,0,0
 Ezreal,3.6,1,1,0,0,0,0,1,1,0
 Gangplank,3.6,1,1,0,0,0,0,1,1,0
 Lee Sin,3.6,1,0,1,0,0,0,1,0,1
 Thresh,3.6,1,0,1,0,0,0,1,0,1
 Wukong,3.6,1,0,1,0,0,0,1,0,1
 Ziggs,3.6,1,0,1,0,0,0,1,0,1
