Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Xayah,11,9,100%,7,4,64%,3.6,4.7,32:10,10.3,520,458,3.5,94,-16
 Alistar,10,9,95%,6,4,60%,3.4,5.7,31:27,1.1,148,246,1.1,-105,188
 Tristana,3,16,95%,2,1,67%,7.0,3.1,31:11,9.7,618,467,15.3,1286,905
 Azir,16,3,95%,7,9,44%,2.9,5.7,30:20,9.4,628,421,3,66,20
 Kaisa,8,11,95%,4,4,50%,3.8,5.4,33:06,9.9,635,446,-7.2,-279,-113
 Aatrox,8,10,90%,5,3,63%,4.7,4.3,31:47,8.7,589,426,3.6,122,492
 Jax,8,10,90%,2,6,25%,2.0,6.5,30:28,7.9,403,393,-0.1,410,-106
 Maokai,13,5,90%,10,3,77%,6.0,5.4,31:15,4.6,362,316,-4.8,-100,-70
 Sejuani,12,6,90%,4,8,33%,2.6,3.0,30:02,5.2,283,311,4.8,-81,162
 Rakan,9,8,85%,3,6,33%,7.8,8.6,30:19,1.4,126,232,6.1,111,53
 Rell,10,7,85%,6,4,60%,4.8,5.3,32:05,2.9,187,279,-12.7,52,-316
 Poppy,4,11,75%,3,1,75%,6.1,2.7,35:18,5.4,329,323,7.5,281,96
 Zeri,5,10,75%,2,3,40%,5.4,5.9,27:55,10.9,590,472,5.6,180,229
 Nocturne,5,8,65%,2,3,40%,2.4,3.5,33:06,6.1,393,351,10.4,356,118
 Renekton,7,6,65%,2,5,29%,1.8,4.5,30:35,8.1,410,374,-7.3,-380,-368
 LeBlanc,0,10,50%,,,,,3.6,,,,,,,
 Nautilus,4,6,50%,4,0,100%,10.3,8.2,28:43,1.1,175,259,-0.5,77,-305
 Vi,1,9,50%,0,1,0%,2.5,4.1,29:41,6.5,148,321,11,-399,511
 Neeko,5,5,50%,2,3,40%,2.3,5.2,33:10,7.8,449,350,2,-80,-95
 KSante,7,3,50%,4,3,57%,3.4,9.3,34:33,7.7,364,378,-0.1,-190,-171
 Lulu,2,5,35%,1,1,50%,3.6,8.4,32:20,0.6,158,241,-26,49,-288
 Rumble,3,4,35%,2,1,67%,3.0,7.0,29:46,8.5,695,412,21.7,1109,635
 Sivir,4,3,35%,2,2,50%,4.1,7.7,29:13,10.0,562,408,-2.2,-253,-190
 Yone,5,2,35%,3,2,60%,5.6,7.0,30:09,8.9,494,438,-1.4,-11,93
 Jayce,4,2,30%,2,2,50%,1.9,4.5,32:15,9.1,420,401,-16,-338,-771
 Draven,2,3,25%,1,1,50%,6.3,9.3,32:01,9.2,622,505,-2,512,552
 Leona,4,1,25%,1,3,25%,1.4,7.0,31:48,1.4,108,232,4,-8,272
 Ahri,3,1,20%,0,3,0%,3.1,10.0,34:36,8.2,648,376,-9,-724,-127
 Gragas,2,2,20%,2,0,100%,5.0,7.0,27:13,8.3,429,417,14,58,345
 Braum,2,2,20%,0,2,0%,0.6,9.0,31:28,1.3,117,217,-1.5,-140,-150
 Viego,2,2,20%,0,2,0%,2.2,8.5,37:14,6.1,366,361,12.5,-72,183
